OTU	M12Forl.140812	M14Knee.140681	F23Knee.140816	M22Kner.140718	F11Kner.140478	F13Knee.140670	F34Knee.140341	F22Forr.140732	M24Knee.140796	M11Knel.140676	M22Forl.140587	F21Knel.140372	M32Knel.140332	M23Knee.140621	F31Forr.140586	F11Knel.140331	M42Forl.140600	M21Knel.140490	M11Forr.140759	M42Knel.140699	F12Kner.140545	F31Kner.140761	M22Knel.140707	M43Knee.140412	F32Knel.140324	F32Forr.140528	F12Knel.140738	F32Forl.140724	M11Forl.140337	M53Knee.140318	M41Knel.140855	M34Knee.140362	M21Forl.140771	M33Knee.140298	F32Kner.140397	F11Forl.140437	M31Kner.140321	F31Knel.140379	M32Forr.140802	F12Forr.140302	F14Knee.140634	F11Forr.140422	F22Knel.140720	M63Knee.140419	M32Kner.140429	F24Knee.140744	M12Forr.140849	M54Knee.140481	M12Kner.140631	M11Kner.140517	M31Forl.140292	M44Knee.140736	F21Forl.140295	M32Forl.140592	F22Kner.140705	M21Forr.140361	M31Knel.140873	M12Knel.140275	M41Forl.140496	F12Forl.140305	M42Forr.140521	M41Kner.140735	M13Knee.140288	F22Forl.140279	M22Forr.140708	M64Knee.140570	M41Forr.140728	M21Kner.140721	F21Kner.140678	F31Forl.140333	M31Forr.140497	F21Forr.140353	M42Kner.140502	F33Knee.140702
Unassigned	0.0	3.0	4.0	10.0	1.0	6.0	0.0	0.0	1.0	1.0	7.0	1.0	2.0	0.0	4.0	7.0	5.0	7.0	3.0	2.0	1.0	6.0	6.0	3.0	8.0	3.0	7.0	6.0	3.0	0.0	5.0	0.0	6.0	0.0	9.0	3.0	4.0	2.0	4.0	4.0	3.0	2.0	2.0	0.0	3.0	1.0	1.0	1.0	3.0	2.0	0.0	1.0	5.0	0.0	5.0	10.0	0.0	2.0	3.0	2.0	7.0	14.0	2.0	3.0	3.0	2.0	7.0	0.0	2.0	5.0	4.0	1.0	13.0	2.0
k__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Streptococcaceae_g__Streptococcus_s__	7.0	0.0	1.0	13.0	1.0	0.0	26.0	12.0	6.0	5.0	37.0	6.0	1.0	4.0	13.0	0.0	14.0	20.0	8.0	2.0	5.0	25.0	22.0	15.0	7.0	6.0	3.0	15.0	12.0	2.0	3.0	0.0	94.0	6.0	9.0	12.0	5.0	2.0	6.0	36.0	1.0	20.0	6.0	1.0	4.0	4.0	2.0	0.0	1.0	5.0	15.0	9.0	17.0	9.0	11.0	35.0	11.0	0.0	29.0	38.0	19.0	10.0	0.0	20.0	30.0	1.0	11.0	17.0	1.0	15.0	11.0	20.0	2.0	8.0
k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Pseudomonadales_f__Moraxellaceae_g__Acinetobacter_s__	1.0	1.0	2.0	5.0	4.0	8.0	5.0	2.0	4.0	0.0	0.0	3.0	3.0	35.0	1.0	0.0	1.0	4.0	1.0	11.0	6.0	0.0	5.0	1.0	4.0	0.0	6.0	2.0	0.0	0.0	2.0	0.0	6.0	1.0	3.0	3.0	0.0	2.0	5.0	7.0	3.0	1.0	0.0	6.0	3.0	2.0	1.0	0.0	0.0	3.0	1.0	1.0	3.0	0.0	1.0	11.0	1.0	0.0	1.0	3.0	3.0	3.0	0.0	5.0	2.0	8.0	1.0	0.0	0.0	2.0	3.0	0.0	2.0	3.0
k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Tissierellaceae_g__Peptoniphilus_s__	0.0	22.0	23.0	0.0	1.0	8.0	3.0	0.0	1.0	4.0	2.0	7.0	11.0	1.0	0.0	6.0	1.0	1.0	7.0	2.0	2.0	0.0	0.0	2.0	1.0	3.0	3.0	0.0	2.0	4.0	0.0	25.0	2.0	24.0	0.0	5.0	27.0	0.0	0.0	0.0	8.0	0.0	8.0	2.0	44.0	3.0	0.0	8.0	6.0	2.0	10.0	3.0	2.0	3.0	6.0	1.0	14.0	2.0	0.0	0.0	1.0	4.0	6.0	2.0	2.0	2.0	2.0	2.0	3.0	0.0	0.0	0.0	4.0	0.0
k__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhizobiales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0
k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales	0.0	0.0	1.0	8.0	0.0	1.0	0.0	0.0	1.0	1.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0
k__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhodobacterales_f__Rhodobacteraceae_g__Amaricoccus_s__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	2.0	4.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
k__Bacteria_p__Actinobacteria_c__Acidimicrobiia_o__Acidimicrobiales_f___g___s__	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0
k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Ruminococcaceae_g__Ruminococcus_s__	0.0	1.0	0.0	1.0	3.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
k__Bacteria_p__Actinobacteria_c__Thermoleophilia_o__Solirubrobacterales_f___g___s__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	4.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0
