OTU	048A.517966	124A.517917	136A.517974	160A.517963	179A.517951	171A.517912	025A.517964	024A.517911	199A.517916	226A.517958	222A.517938	193A.517981	103A.517930	211A.517952	216A.517955	194A.517927	184A.517980	213B.517909	005A.517956	046A.517923	209A.517959	234A.517934	164A.517939	080A.517947	233A.517978	156A.517946	051A.517935	086A.517933	034B.517954	206A.517983	187A.517965	172A.517920	004A.517975	018A.517925	155A.517926	166A.517960	114C.517973	182A.517969	218A.517928	140A.517937	207A.517949	185A.517953	146A.517915	062B.517972	180A.517910	214A.517924	191C.517943	177A.517976	200A.517948	130A.517982	195A.517961	153A.517929	198A.517940	210A.517945	035A.517979	079A.517967	228A.517932	178A.517971	219A.517977	186A.517918	099A.517921	118B.517968	139A.517913	165A.517970	192A.517922	119A.517957	148A.517931	009A.517942	202A.517941	142A.517962	162A.517936	016A.517944	120D.517914	038A.517919	215A.517950
k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Ruminococcaceae_g___s__	182.0	44.0	159.0	1.0	176.0	0.0	104.0	81.0	217.0	56.0	80.0	173.0	51.0	117.0	43.0	10.0	63.0	54.0	502.0	141.0	78.0	120.0	0.0	133.0	76.0	43.0	46.0	131.0	71.0	164.0	119.0	119.0	1.0	20.0	66.0	15.0	46.0	24.0	107.0	29.0	50.0	218.0	193.0	16.0	0.0	0.0	10.0	24.0	78.0	74.0	70.0	790.0	19.0	100.0	2.0	0.0	18.0	103.0	0.0	8.0	51.0	11.0	0.0	0.0	50.0	211.0	69.0	0.0	0.0	0.0	0.0	98.0	0.0	0.0	0.0
Unassigned	7.0	4.0	6.0	4.0	5.0	8.0	4.0	5.0	12.0	9.0	3.0	4.0	5.0	3.0	4.0	12.0	11.0	10.0	4.0	2.0	7.0	4.0	6.0	13.0	2.0	10.0	7.0	4.0	6.0	3.0	9.0	5.0	33.0	6.0	6.0	5.0	7.0	6.0	9.0	5.0	8.0	2.0	3.0	8.0	7.0	16.0	7.0	3.0	3.0	4.0	12.0	8.0	2.0	9.0	9.0	9.0	7.0	6.0	7.0	7.0	4.0	5.0	8.0	1.0	8.0	1.0	12.0	11.0	8.0	3.0	12.0	5.0	7.0	4.0	5.0
k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Pasteurellales_f__Pasteurellaceae_g__Haemophilus_s__parainfluenzae	0.0	0.0	15.0	27.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	11.0	0.0	0.0	0.0	1.0	0.0	0.0	5.0	3.0	3.0	13.0	0.0	0.0	36.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	22.0	0.0	4.0	0.0	0.0	0.0	0.0	6.0	126.0	0.0	9.0	21.0	0.0	0.0	0.0	1.0	14.0	4.0	0.0	8.0	53.0	80.0	1.0	54.0	2.0	0.0	0.0	8.0
k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Enterobacteriales_f__Enterobacteriaceae_g___s__	0.0	12.0	45.0	1.0	0.0	579.0	0.0	0.0	0.0	40.0	0.0	8.0	0.0	2.0	0.0	61.0	42.0	7.0	1.0	0.0	0.0	2.0	1.0	0.0	1.0	14.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	23.0	0.0	13.0	189.0	21.0	0.0	0.0	0.0	5.0	8.0	88.0	358.0	401.0	46.0	0.0	0.0	0.0	16.0	3.0	1.0	5.0	181.0	17.0	48.0	10.0	487.0	577.0	71.0	35.0	413.0	1166.0	3.0	0.0	0.0	0.0	241.0	1090.0	0.0	1.0	248.0	871.0	54.0
k__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Streptococcaceae_g__Streptococcus_s__	23.0	79.0	32.0	653.0	1.0	36.0	0.0	0.0	1.0	71.0	102.0	58.0	37.0	2.0	16.0	3.0	13.0	19.0	1.0	3.0	0.0	65.0	395.0	0.0	5.0	18.0	2.0	20.0	70.0	4.0	67.0	1.0	166.0	18.0	3.0	15.0	11.0	16.0	0.0	0.0	19.0	13.0	6.0	11.0	166.0	4.0	5.0	16.0	7.0	3.0	0.0	1.0	2.0	2.0	3.0	15.0	6.0	32.0	31.0	0.0	1.0	36.0	266.0	1.0	1.0	2.0	25.0	332.0	708.0	4.0	602.0	6.0	4.0	37.0	28.0
k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g___s__	170.0	115.0	70.0	5.0	95.0	0.0	66.0	20.0	15.0	31.0	180.0	102.0	135.0	110.0	61.0	30.0	164.0	110.0	23.0	140.0	68.0	200.0	0.0	156.0	140.0	79.0	65.0	114.0	42.0	89.0	100.0	79.0	161.0	161.0	91.0	36.0	112.0	96.0	79.0	26.0	63.0	60.0	107.0	347.0	23.0	56.0	307.0	101.0	74.0	123.0	47.0	68.0	60.0	92.0	3.0	41.0	181.0	70.0	2.0	71.0	130.0	138.0	0.0	0.0	171.0	114.0	83.0	16.0	1.0	0.0	34.0	63.0	0.0	0.0	7.0
k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Veillonellaceae_g__Veillonella_s__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae	45.0	179.0	14.0	2.0	31.0	0.0	25.0	28.0	8.0	24.0	21.0	51.0	86.0	29.0	61.0	4.0	46.0	10.0	88.0	53.0	41.0	58.0	0.0	2.0	25.0	82.0	50.0	28.0	13.0	19.0	43.0	21.0	3.0	15.0	13.0	1.0	24.0	17.0	10.0	15.0	26.0	3.0	5.0	6.0	37.0	2.0	6.0	62.0	29.0	9.0	7.0	5.0	1.0	31.0	0.0	11.0	22.0	170.0	0.0	22.0	6.0	70.0	0.0	0.0	28.0	93.0	15.0	0.0	0.0	0.0	40.0	50.0	0.0	0.0	0.0
k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Clostridiaceae_g___s__	2.0	2.0	22.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	3.0	1.0	7.0	1.0	1.0	41.0	1.0	8.0	0.0	0.0	0.0	2.0	2.0	3.0	3.0	0.0	0.0	13.0	0.0	1.0	2.0	5.0	9.0	0.0	2.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	8.0	0.0	159.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	186.0	0.0	0.0	0.0	0.0	21.0	3.0	255.0	0.0	0.0	2.0	0.0	0.0	40.0	0.0	272.0	1.0	625.0	6.0	0.0
k__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
